Date,AdjClose
21/03/2019,47.69105148
22/03/2019,46.70344543
25/03/2019,46.13874435
26/03/2019,45.66205978
27/03/2019,46.07275009
28/03/2019,46.13385773
29/03/2019,46.43454361
01/04/2019,46.74990082
02/04/2019,47.42947769
03/04/2019,47.75461197
04/04/2019,47.83771896
05/04/2019,48.15795898
08/04/2019,48.91578293
09/04/2019,48.769104
10/04/2019,49.04288864
11/04/2019,48.634655
12/04/2019,48.61508942
15/04/2019,48.70309448
16/04/2019,48.70798874
17/04/2019,49.6564827
18/04/2019,49.83493805
22/04/2019,49.99871826
23/04/2019,50.71987152
24/04/2019,50.64164352
25/04/2019,50.18206787
26/04/2019,49.94249344
29/04/2019,50.01827621
30/04/2019,49.05511475
01/05/2019,51.4630127
02/05/2019,51.12810516
03/05/2019,51.76369476
06/05/2019,50.96432877
07/05/2019,49.59047699
08/05/2019,49.60025024
09/05/2019,49.06733704
10/05/2019,48.38759232
13/05/2019,45.57532883
14/05/2019,46.29679489
15/05/2019,46.85139084
16/05/2019,46.64525604
17/05/2019,46.38022995
20/05/2019,44.92993164
21/05/2019,45.79127502
22/05/2019,44.85385895
23/05/2019,44.08821487
24/05/2019,43.91888809
28/05/2019,43.73729324
29/05/2019,43.5287056
30/05/2019,43.75447464
31/05/2019,42.96184158
03/06/2019,42.52748108
04/06/2019,44.08330154
05/06/2019,44.79495621
06/06/2019,45.45262527
07/06/2019,46.66244125
10/06/2019,47.25875854
11/06/2019,47.80599594
12/06/2019,47.65384674
13/06/2019,47.64403152
14/06/2019,47.29802704
17/06/2019,47.58022308
18/06/2019,48.69924927
19/06/2019,48.55691147
20/06/2019,48.94709778
21/06/2019,48.78022385
24/06/2019,48.73114395
25/06/2019,47.99250031
26/06/2019,49.03053284
27/06/2019,49.01580811
28/06/2019,48.56917953
01/07/2019,49.45997238
02/07/2019,49.74954605
03/07/2019,50.16181946
05/07/2019,50.11764145
08/07/2019,49.08451462
09/07/2019,49.38390732
10/07/2019,49.87224197
11/07/2019,49.50906372
12/07/2019,49.88942337
15/07/2019,50.35813904
16/07/2019,50.18390274
17/07/2019,49.90169907
18/07/2019,50.46856308
19/07/2019,49.7151947
22/07/2019,50.85138321
23/07/2019,51.24892426
24/07/2019,51.20721054
25/07/2019,50.80230713
26/07/2019,50.97899246
29/07/2019,51.45505905
30/07/2019,51.23420715
31/07/2019,52.27959824
01/08/2019,51.14831161
02/08/2019,50.06611252
05/08/2019,47.44526291
06/08/2019,48.34341812
07/08/2019,48.84402847
08/08/2019,49.92132568
09/08/2019,49.50995255
12/08/2019,49.38432693
13/08/2019,51.47566986
14/08/2019,49.94349289
15/08/2019,49.69470215
16/08/2019,50.86723709
19/08/2019,51.81560898
20/08/2019,51.81807327
21/08/2019,52.37970734
22/08/2019,52.3353653
23/08/2019,49.91640091
26/08/2019,50.8647728
27/08/2019,50.29081726
28/08/2019,50.6282959
29/08/2019,51.48552322
30/08/2019,51.41901398
03/09/2019,50.67016983
04/09/2019,51.52986908
05/09/2019,52.53735352
06/09/2019,52.53242874
09/09/2019,52.75658798
10/09/2019,53.37979889
11/09/2019,55.07701874
12/09/2019,54.95384979
13/09/2019,53.88477325
16/09/2019,54.16806412
17/09/2019,54.36512756
18/09/2019,54.87502289
